GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
insights,com.neueda.leap,Main,5,3,0,0,2,2,1,1,1,1
insights,com.neueda.leap.onboarding.service,RegistrationServiceImpl,50,408,10,12,4,82,10,14,0,13
insights,com.neueda.leap.order.execution.quote,QuoteFreshnessPolicy.Freshness,0,21,0,0,0,1,0,1,0,1
insights,com.neueda.leap.order.execution.quote,ExecutionQuoteDecision.Action,0,21,0,0,0,1,0,1,0,1
insights,com.neueda.leap.order.execution.quote,ExecutionQuoteDecision.Reason,0,27,0,0,0,1,0,1,0,1
insights,com.neueda.leap.order.execution.quote,ExecutionQuoteConfiguration,22,0,0,0,4,0,4,0,4,0
insights,com.neueda.leap.order.execution.quote,JdbcExecutionOrderContextRepository,0,37,0,0,0,4,0,3,0,3
insights,com.neueda.leap.order.execution.quote,ExecutionOrderContext,0,12,0,0,0,1,0,1,0,1
insights,com.neueda.leap.order.execution.quote,ExecutionQuoteDecision,0,19,0,0,0,2,0,2,0,2
insights,com.neueda.leap.order.execution.quote,ExecutionQuoteService,17,97,2,7,1,12,3,6,1,3
insights,com.neueda.leap.order.execution.quote,QuoteFreshnessPolicy,12,53,6,10,0,9,6,4,0,2
insights,com.neueda.leap.order.submission.controller,OrderSubmissionController,18,6,2,0,3,3,2,1,1,1
insights,com.neueda.leap.instrument.controller,InstrumentController,0,25,0,0,0,7,0,4,0,4
insights,com.neueda.leap.user.dto,LoginResponse,0,11,0,0,0,2,0,2,0,2
insights,com.neueda.leap.user.dto,UserResponse,0,43,0,0,0,6,0,2,0,2
insights,com.neueda.leap.user.dto,LoginRequest,0,11,0,0,0,2,0,2,0,2
insights,com.neueda.leap.portfolio.dto,OrderSummaryResponse,0,42,0,0,0,1,0,1,0,1
insights,com.neueda.leap.portfolio.dto,HoldingResponse,0,24,0,0,0,1,0,1,0,1
insights,com.neueda.leap.portfolio.dto,CashBalanceResponse,0,15,0,0,0,1,0,1,0,1
insights,com.neueda.leap.common.exception,GlobalExceptionHandler,10,90,0,2,1,16,1,9,1,8
insights,com.neueda.leap.order.execution,OrderExecutionConfiguration.Poller,49,0,6,0,15,0,6,0,3,0
insights,com.neueda.leap.order.execution,OrderExecutor.Outcome,21,0,0,0,1,0,1,0,1,0
insights,com.neueda.leap.order.execution,OrderExecutionWorker,223,30,18,2,33,8,17,2,8,1
insights,com.neueda.leap.order.execution,OrderExecutionWorker.Claim,0,9,0,0,0,1,0,1,0,1
insights,com.neueda.leap.order.execution,OrderExecutionConfiguration,24,0,0,0,4,0,5,0,5,0
insights,com.neueda.leap.user.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
insights,com.neueda.leap.user.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
insights,com.neueda.leap.passwordreset.dto,PasswordResetConfirmRequest,0,9,0,0,0,1,0,1,0,1
insights,com.neueda.leap.passwordreset.dto,PasswordResetRequest,0,6,0,0,0,1,0,1,0,1
insights,com.neueda.leap.passwordreset.dto,PasswordResetResponse,0,6,0,0,0,1,0,1,0,1
insights,com.neueda.leap.order.submission.service,OrderSubmissionService,36,154,1,15,4,26,5,12,4,5
insights,com.neueda.leap.order.submission.service,OrderSubmissionResult,0,9,0,0,0,1,0,1,0,1
insights,com.neueda.leap.instrument.service,InstrumentNotFoundException,0,6,0,0,0,2,0,1,0,1
insights,com.neueda.leap.instrument.service,InstrumentService,0,24,0,0,0,6,0,4,0,4
insights,com.neueda.leap.passwordreset,PasswordResetController,0,30,0,0,0,9,0,3,0,3
insights,com.neueda.leap.passwordreset,EmailPasswordResetDelivery,0,36,0,0,0,12,0,2,0,2
insights,com.neueda.leap.passwordreset,InvalidPasswordResetTokenException,0,4,0,0,0,2,0,1,0,1
insights,com.neueda.leap.passwordreset,PasswordResetToken,0,30,0,0,0,12,0,6,0,6
insights,com.neueda.leap.passwordreset,PasswordResetService,0,120,0,2,0,35,0,5,0,4
insights,com.neueda.leap.passwordreset,PasswordResetTokenUtil,7,33,0,0,2,13,0,3,0,3
